"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"011","ARIZONA","BIG LAKE","APACHE","0401","NATURAL",NA,NA,"4.4",NA,NA,"77","101","2.9","0.032","0.007","0.09","0.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9919915",NA
"012","ARIZONA","FOOLSHOLLOH LAKE","NAVAJO","0402","IMPOUNDMENT","282.3","0.57","7","0.08","31.4","81","152","0.8","0.059","0.014","0.09","0.66",NA,NA,"5","145","215","140",NA,"140","3565","3845",NA,NA,"0.36",NA,NA,"6.7"
"013","ARIZONA","LAKE HAVASU","MOHAVE Azz SAN 8ERNADINO CA","0403","IMPOUNDMENT","463091.8","77.3","9.2","306.02","32","136","995","2","0.015","0.005","0.17","0.54","7490",NA,"25","274205","281720","19060",NA,"1015","8054025","8074100","190275","32","3.64","7826805","3","104.5"
"014","ARIZONA","LUNA LAKE","APACHE","0404",NA,NA,NA,NA,NA,NA,"97","220","2.6","0.102","0.131","0.05","0.72","105",NA,NA,"465","570","285",NA,NA,"4240",NA,"540","5","1.9","2320","49","15.1"
"015","ARIZONA","LYMAN LAKE","APACHE","0405","IMPOUNDMENT","2046.1","5.67","6.7","0","2.4","169","307","0.4","0.099","0.056","0.06","0.43","1425",NA,NA,"3300","9725","3535",NA,"35","44355",NA,"3445","65","1072","43090","10","8.5"
"016","ARIZONA","LAKE MOHAVE","MOHAVE Az; CLARK Nv","0406","IMPOUNDMENT","438486.8","105.63","18.9","314.95","73","137","884","3.3","0.017","0.01","0.24","0.6",NA,NA,"5","252955","252960",NA,NA,"175",NA,NA,"203395","20","2.39","8797855","28","115.7"
"017","ARIZONA","LAKE PLEASANT","MARICOPA YAvAPAI","0407","IMPOUNDMENT",NA,"14.16","13.7",NA,NA,"173","492","1.3","0.027","0.004","0.04","0.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99151515",NA
"018","ARIZONA","LAKE PORELL","COCONINO A2; GARFIELD KANE SAN JUAN UT","0403","IMPOUNDMENT","279459","353.13","51","393.3","2","130","530","4.5","0.01","0.009","0.41","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"019","ARIZONA","RAINBOR LAKE","NAVAJO","0409","NATURAL","26.2","0.32","4.6","0.29","171","118","179","1.5","0.046","0.009","0.045","0.62","10",NA,"10","675","695","340",NA,"435","10595","11370","340","51","2.17","6000","47","35.5"
"020","ARIZONA","THEODORE ROOSEVELT LAKE","GILA",NA,"IMPOUNDMENT","15084.2","60.7","28","31.96","1.9",NA,"124","795","1.8","0.02","0.008","0.04","47245",NA,NA,"630815","678060",NA,NA,NA,NA,NA,"401180","41","11.2",NA,NA,NA
"021","ARIZONA","SAN CARLOS RESERVOIR","GILA GRAHAM PINAL","0411","IMPOUNDMENT","33374.7","52.61","15.3","12.22",NA,"161","1258","0.6","0.056","0.009","0.06","0.52","1565",NA,NA,"490415","491980","3680",NA,NA,"1073140",NA,"10165","98","9.35","239960","78","20.5"
"022","CALIFORNIA","LAKE AMADOR","AMADOR","0601","IMPOUNDMENT",NA,"151.3","1.56","17.4","1.236","73","175","2.3","0.04","0.02","0.39","0.68",NA,NA,NA,"1205","3815","8065",NA,NA,"71915",NA,"1800","53","2.45",NA,NA,NA
"023","CALIFORNIA",NA,"BOCA RESERVOIR IOLIGDTROPHIC",NA,"IMPOUNDMENT","445.5","3.97","12.8","6.024","112","37",NA,"3.2","0.012","0.003","0.04","0.22",NA,NA,NA,"3380","3380",NA,NA,NA,"78165","78165","2675","21","0.85","72570","7","19.7"
"024","CALIFORNIA","LAKE BRITTON","SHASTA","0603","IMPOUNDMENT","11929.5","5.12","9.8","97.52","6","74","135","1.3","0.067","0.047","0.115","0.315",NA,"2960","4","5","220350",NA,NA,"8510","4","175","226420",NA,"43.62","2454865",NA,NA
"025","CALIFORNIA","LAKE CASITAS","VENTURA","0004","IMPOUNDMENT","89.4","10.97","28.6","0.522","19.1","143","520","2.5","0.029","0.014","0.05","0.28",NA,NA,"25","395","420",NA,NA,NA,"23435","24300","445",NA,"0.04","14805","39","2.2"
"026","CALIFORNIA","LAKE CRONLEY","MONO","0605","IMPOUNDMENT",NA,"21.38","10.6",NA,NA,"108","239","3.2","0.046","0.034","0.045","0.275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","CALIFORNIA","DON PEDRO RESERVOIR","TUOLUMNE","0606","IMPOUNDMENT","3957.9","52.45","47.7","46.868","1.7","19","44","3","0.013","0.004","0.06","0.25","10625",NA,"5","44305",NA,"23565",NA,"195","1312590","1336350","26600","52","1.05","1328520","1","25.5"
"028","CALIFORNIA","LAKE ELSINORE","RIVERSIDE","0607","NATURAL",NA,"10.52",NA,NA,"909900","940","5545","0.3","0.469","0.092","0.12","3.035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"029","CALIFORNIA","FALLEN LEAF LAKE","EL DORADO","0608","NATURAL","43.3","5.71","1.5","1.51","64","12","14","12.1","0.007","0.005","0.04","0.22",NA,NA,"50","585","635",NA,NA,"1810","36445","38255","510","20","0.11","28475","26","6.7"
