pagenum,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn,p_pnt_source_muni,p_pnt_source_industrial,p_pnt_source_septic,p_nonpnt_source,p_total,n_pnt_source_muni,n_pnt_source_industrial,n_pnt_source_septic,n_nonpnt_source,n_total,p_total_out,p_percent_retention,p_surface_area_loading,n_total_out,n_percent_retention,n_surface_area_loading
11,ARKANSAS,BEAVER RESERVOIR,BENTON CARROLL o IASHINGTON,501,IMPOUNDMENT,3087.3,114.2,17.8,42.45,1.5,49,94,2.1,0.022,0.006,0.33,0.61,45860,NA,10,36160,82010,159785,NA,385,1448335,1608505,18580,77,0.72,1110180,31,14.1
12,ARKANSAS,BULL SHOALS RESERVOIR,BAXTER BOONE MARION AR! TANEY OZARK MO,504,IMPOUNDMENT,15672.1,183.89,20.4,165.04,259,131,223,3.4,0.015,0.004,0.38,0.53,1475,NA,35,101670,103180,4420,NA,1225,6945940,6951585,64915,37,0.56,3777390,46,37.8
14,ARKANSAS,TABLE ROCK RESERVOIR,"BOONE CARROLL AR, BARRY TANEY MO",515,IMPOUNDMENT,10411.8,174.42,19.1,114.8,330,97,175,2.3,0.022,0.007,0.35,0.6,214095,NA,35,45290,259420,504120,NA,1285,4360855,4866260,66555,74,1.49,6008260,NA,27.9
15,MISSOURI,LAKE TANEYCOMO,TANEY,2904,IMPOUNDMENT,11297.6,12.22,5.8,123.81,7,96,155,2,0.023,0.007,0.53,0.72,5125,NA,10,69010,76165,9555,NA,615,6234120,6266090,87280,NA,6.07,6038630,3,511
16,ARKANSAS,BLACKFISH LAKE,CRITTENDEN ST FRANCIS,502,NATURAL,288.8,1.62,1.8,287.1,8,33,88,0.1,0.424,0.09,1.47,2.425,NA,NA,5,112130,112135,NA,NA,275,390625,390900,92130,18,69.22,303920,22,241.3
17,ARKANSAS,BLUE MOUNTAIN LAKE,LOGAN YELL,503,IMPOUNDMENT,1263.9,11.74,2.6,14.61,25,20,5,0.4,0.05,0.01,0.16,0.4,5065,NA,5,11700,16050,4295,NA,250,419955,424500,31255,NA,1.44,343495,19,36.2
18,ARKANSAS,LAKE CATHERINE,GARLAND HOT SPRING,505,IMPOUNDMENT,3926.4,7.05,5.5,65.66,8,17,62,1.2,0.029,0.006,0.1,0.43,42410,NA,15,36410,70035,127190,NA,620,1060970,1100700,49340,37,10.04,1735200,NA,151.4
19,ARKANSAS,HAMILTON LAKE,GARLAND,510,IMPOUNDMENT,3732.2,24.28,9.7,62.76,43,18,50,1.8,0.024,0.006,0.13,0.42,36190,NA,75,35440,71705,108165,NA,2845,798955,909965,344035,53,2.95,1008320,NA,37.5
21,ARKANSAS,OUACHITA LAKE,GARLAND MONTGOMERY,514,IMPOUNDMENT,2861.9,162.28,16.3,43.6,1.9,22,69,2.8,0.015,0.006,0.155,0.335,590,NA,10,27470,28070,1535,NA,430,736865,736830,23445,16,0.17,565150,23,6.5
23,ARKANSAS,CHICOT LAKE,CHICOT,506,IMPOUNDMENT,1046.4,21.45,2.7,13.62,49,85,189,0.4,0.162,0.089,0.45,1.2,NA,NA,5,142530,142535,NA,NA,250,872935,873185,115735,19,6.64,700900,20,40.7
