pagenum,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn,p_pnt_source_muni,p_pnt_source_industrial,p_pnt_source_septic,p_nonpnt_source,p_total,n_pnt_source_muni,n_pnt_source_industrial,n_pnt_source_septic,n_nonpnt_source,n_total,p_total_out,p_percent_retention,p_surface_area_loading,n_total_out,n_percent_retention,n_surface_area_loading,,
11,CONNECTICUT,ASPINOOK,NEW LONDON,0901,IMPOUNDMENT,1851.85,1.35,2.7,35.5,1.2,20,115,0.8,0.092,0.053,0.59,NA,28259,NA,14,106816,135088,80236,NA,535,1679467,1760237,125927,7,100.24,1610394,9,1306.2,,
12,CONNECTICUT,BANTAM,LITCHFIELD,0902,NATURAL,85.99,3.71,4.4,1.7,112,33,110,1.7,0.044,0.014,0.135,NA,190,NA,NA,2132,2322,535,NA,NA,44562,45098,2431,NA,0.63,47927,NA,12.2,,
13,CONNECTICUT,COMMUNITY LAKE,NEW HAVEN,0903,IMPOUNDMENT,282.31,0.36,NA,5.5,NA,66,280,0.9,0.488,0.36,2.15,NA,38236,NA,NA,57007,95243,179537,NA,NA,397179,576716,91810,4,261.49,553528,4,1583.4,,
14,CONNECTICUT,EAGLEVILLE,TOLLAND,0904,IMPOUNDMENT,287.49,0.32,0.9,5.3,0.6,10,90,1.6,0.094,0.04,0.5,NA,11374,NA,14,6127,17515,69728,NA,535,180689,250952,13819,21,54.1,257710,NA,775.1,,
15,CONNECTICUT,HANOVER POND,NEW HAVEN,0905,IMPOUNDMENT,246.31,0.26,1.4,4.8,0.8,59,265,1,0.298,0.189,1.575,NA,29673,NA,NA,26875,56549,105900,NA,NA,247143,353043,56440,0,218.33,380676,NA,1363.1,,
16,CONNECTICUT,LAKE ZOAR,LITCHFIELD NEH HAVEN,0910,IMPOUNDMENT,3991.19,3.95,7.5,70.2,5,72,220,1.9,0.043,0.029,0.56,NA,10154,NA,NA,144617,154771,14231,NA,NA,2747388,2761619,116562,25,39.22,2556381,7,699.9,,
17,CONNECTICUT,LAKE LILLINONAH,FAIRFIELD,0911,IMPOUNDMENT,3605.28,7.69,11.9,62.7,17,80,240,3.7,0.054,0.048,0.66,NA,29669,NA,NA,193900,223569,214957,NA,NA,2786162,3001118,133406,40,29.08,2512589,16,390.3,,
18,CONNECTICUT,LAKE HOUSATONIC,NEWHAVEN FAIR FIELD,0912,IMPOUNDMENT,4076.66,1.33,2.9,71.8,0.6,84,240,1.9,0.039,0.029,0.57,NA,NA,NA,NA,118236,118236,NA,NA,NA,2607147,2607147,99506,16,89.07,2459537,6,1964.1,,
19,MAINE,ESTES LAKE,YORK,2304,IMPOUNDMENT,271.95,1.57,3,5,11,13,75,1,0.094,0.057,0.23,NA,11234,NA,14,3864,15111,45193,NA,481,127129,172803,14254,6,9.65,193388,NA,110.3,,
20,MAINE,LONG LAKE,CUMBERLAND,2306,NATURAL,295.26,19.7,10.4,5.5,1.2,10,50,3.4,0.008,0.006,0.08,NA,NA,NA,299,2458,2757,NA,NA,11256,83578,94834,1388,50,0.14,78757,17,4.8,,
21,MAINE,MATTAWAMKEAG LAKE,AROOSTOOK,2308,NATURAL,813.26,13.48,3.7,13.7,42,16,65,1.6,0.011,0.007,0.12,NA,4254,NA,NA,3683,7937,54698,NA,NA,249714,304413,5619,29,0.59,230839,24,22.6,,SHIFT
22,MAINE,MOOSEHEAD,PISCATAQUIS,2309,NATURAL,3279.97,303.08,16.5,52.9,3,10,50,3.8,0.005,0.003,0.18,NA,NA,NA,136,24476,24612,NA,NA,5134,1217029,1222162,13342,46,0.08,916562,25,4,,SHIFT & ZEROS
23,MAINE,RANGELEY LAKE,FRANKLIN,2310,NATURAL,256.41,24.28,14.3,3.9,2.8,10,50,3.8,0.007,0.005,0.11,NA,331,NA,145,1692,2168,1043,NA,5370,90240,96653,1102,49,0.09,52834,45,4,,
24,MAINE,SEBAGO LAKE,CUMBERLAND,2311,NATURAL,1142.19,116.43,30.8,20.9,5.4,10,50,5.1,0.004,0.003,0.155,NA,NA,NA,517,8744,9261,NA,NA,19451,528403,547855,3959,57,0.08,482168,12,4.7,,
25,MAINE,SEBASTICOOK LAKE,PENOBSCOT,2312,NATURAL,326.34,17.35,5.8,6,200,30,140,1.1,0.05,0.024,0.11,NA,8263,NA,86,3460,11810,92726,NA,3197,197274,293197,8358,29,0.68,92141,69,16.9,,
26,MAINE,LONG LAKE,AROOSTOOK,2313,NATURAL,234.14,24.28,13.4,3.2,3.2,26,83,2.6,0.01,0.006,0.2,NA,290,NA,209,2494,2993,875,NA,7832,170036,178744,1311,56,0.12,70358,61,7.4,,
27,MAINE,BAY OF NAPLES,CUMBERLAND,2314,NATURAL,308.21,3.08,4.3,5.8,26,10,50,3.2,0.005,0.003,0.07,NA,NA,NA,41,1533,1574,NA,NA,1565,88431,89995,1279,19,0.51,121710,NA,29.2,,
28,MASSACHUSETTS,HAGER POND,MIDDLESEX,2502,NATURAL,4.4,0.1,1.5,0.1,24,25,419,0.4,1.525,0.482,7.355,NA,12980,NA,NA,118,13098,54485,NA,NA,3565,58050,3510,73,129.46,26771,54,573.8,,
29,MASSACHUSETTS,HARRIS POND,NA,2503,IMPOUNDMENT,85.73,0.36,2.4,1.6,6.2,12,110,0.8,0.052,0.023,0.41,NA,2444,503,NA,912,3859,11964,1202,NA,30644,43810,2522,35,10.84,42376,3,123,,
30,MASSACHUSETTS,MAYNARD IMPOUNDMENT,MIDDLESEX,2504,IMPOUNDMENT,292.67,0.32,1.2,4.9,1,24,190,1.3,0.417,0.356,0.66,NA,29438,NA,NA,2585,32023,86204,NA,NA,216308,302512,34354,NA,98.91,330463,NA,934.4,,
31,MASSACHUSETTS,WOODS POND,BERKSHIRE,2507,IMPOUNDMENT,445.48,0.49,1.2,8.8,1,110,295,1.1,0.363,0.282,1.41,NA,62186,61224,NA,8379,131789,286635,NA,NA,393492,680127,100571,24,266.93,939887,NA,1377.5,,
32,MASSACHUSETTS,MATFIELD IMPOUNDMENT,PLYMOUTH,2508,IMPOUNDMENT,356.9,0.15,0.9,6.8,0.3,10,180,0.4,0.535,0.383,2.64,NA,81342,NA,NA,44404,125746,354426,NA,NA,496045,850472,82259,35,817.68,875880,NA,5530.3,,
33,MASSACHUSETTS,ROCHDALE POND,HORCHESTER,2509,IMPOUNDMENT,48.95,0.17,1.8,0.8,4.5,10,153,1.1,0.063,0.027,0.15,NA,113,NA,NA,1143,1256,635,NA,NA,30281,30916,1569,NA,7.57,25374,18,186.3,,
34,MASSACHUSETTS,BILLERICA IMPOUNDMENT,MIDDLESEX,2511,IMPOUNDMENT,714.84,0.1,2.1,15.3,0.2,23,205,1,0.181,0.128,0.395,NA,43787,NA,NA,28626,72413,136844,NA,NA,827084,963927,71107,2,715.73,1058984,NA,9527.4,,
35,MASSACHUSETTS,NORTHBORO IMPOUNDMENT,MORCMESTER,2512,IMPOUNDMENT,91.69,0.06,1.2,1.5,0.5,10,20,1.1,0.275,0.212,0.6,NA,20118,NA,NA,4272,24390,42254,NA,NA,72050,114304,24313,0,401.78,123098,NA,1883,,
36,MASSACHUSETTS,HUDSON IMPOUNDMENT,MIDDLESEA NORCHESTER,2513,IMPOUNDMENT,188.29,0.12,1.2,3.1,0.5,20,220,1.4,0.476,0.416,1.31,NA,25134,NA,NA,5039,30172,54880,NA,NA,139587,194467,23583,22,248.52,218975,NA,1601.8,,
37,MICHIGAN,HOLLOWAY RESERVIOR,,26A0,IMPOUNDMENT,1362.34,3.86,NA,7.1,NA,220,575,1.5,0.057,0.032,0.58,NA,7642,NA,23,17478,25143,27542,NA,798,452576,480916,16132,36,6.51,486340,NA,124.6,,
38,MICHIGAN,CARO RESERVOIR,TUSCOLA,26A1,IMPOUNDMENT,1649.83,0.81,NA,8.9,NA,238,650,0.7,0.108,0.029,1.6,NA,8095,NA,NA,19120,27215,20662,NA,NA,906023,926685,33129,NA,33.62,983184,NA,1144.9,,
39,MICHIGAN,BOARDMAN HYDRO POND,GRAND TRAVERSE,26A2,IMPOUNDMENT,NA,0.31,7.6,NA,NA,153,308,3.5,0.008,0.004,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
40,MICHIGAN,LAKE ALLEGAN,ALLEGAN,2603,IMPOUNDMENT,3991.19,6.42,3.4,35.7,7,223,600,0.7,0.135,0.061,1.02,NA,46989,NA,NA,154522,201510,756671,NA,NA,1831984,2588655,154177,23,31.4,3120462,NA,403.3,,
41,MICHIGAN,BARTON LAKE,KALAMAZOO,2606,NATURAL,129.24,1.4,6.1,1.2,81,169,400,1.1,0.061,0.031,0.985,NA,1986,NA,36,989,3011,4975,NA,1293,41596,47864,2984,1,2.14,70925,NA,34.1,,
42,MICHIGAN,BELLEVILLE LAKE,MAYNE,2609,IMPOUNDMENT,2157.47,5.14,6.1,14.4,25,172,540,0.9,0.122,0.06,1.11,NA,75846,NA,100,4980,80925,485760,NA,3633,630775,1120167,60807,25,15.75,1236322,NA,217.9,,
43,MICHIGAN,BETSIE LAKE,BENZIE,2610,NATURAL,634.55,1.01,NA,9.9,NA,145,304,1,0.026,0.009,0.175,NA,5986,NA,NA,6544,12531,17995,NA,NA,299986,317982,10685,15,12.39,266934,16,314.3,,
44,MICHIGAN,BRIGHTON LAKE,NA,2613,NATURAL,61.12,2.43,NA,0.4,NA,188,520,1.1,0.62,0.22,0.48,NA,580,NA,27,367,975,8431,NA,961,14707,24100,1542,NA,0.4,15828,34,9.9,,
45,MICHIGAN,LAKE CHARLEVOIX,NA,2617,NATURAL,854.7,69.85,16.8,11.5,3.2,130,285,3.8,0.006,0.004,0.21,NA,1211,NA,231,7138,8580,8077,NA,8667,642081,658825,3138,63,0.12,344363,48,9.4,,
46,MICHIGAN,LAKE CHEMUNG,LIVINGSTON,2618,NATURAL,13.99,1.25,8.5,0.1,4.2,137,410,2.4,0.032,0.013,0.14,NA,NA,NA,141,132,272,NA,NA,5224,6508,11732,100,63,0.22,3610,69,9.4,,
47,MICHIGAN,CONSTANTINE RESERVOIR,ST JOSEPH,2621,IMPOUNDMENT,NA,2.25,NA,NA,NA,193,500,1.1,0.048,0.02,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
48,MICHIGAN,DEER LAKE,MARQUETTE,2624,NATURAL,94.02,3.63,NA,1.1,NA,57,220,1.5,0.244,0.212,0.12,NA,7238,NA,NA,1320,8558,31333,NA,NA,56608,87941,7819,9,2.36,66635,24,24.2,,
49,MICHIGAN,FORD LAKE,WASHTENAW,2629,IMPOUNDMENT,2108.26,4.25,4.4,14.1,15,187,538,1.1,0.111,0.063,1.16,NA,63474,NA,NA,5211,68685,436209,NA,NA,681184,1117392,55683,19,16.16,983030,12,263,,
50,MICHIGAN,FREMONT LAKE,NERAYGO,2631,NATURAL,52.58,3.2,10.1,0.5,1.9,162,480,1.5,0.378,0.344,1.46,NA,4023,NA,27,5447,9497,11238,NA,1066,40209,52512,5020,47,2.97,38154,27,16.4,,
51,MICHIGAN,JORDAN LAKE,IONIA HARRY,2640,NATURAL,66.82,1.74,7.3,0.5,304,162,425,1.8,0.171,0.138,1.96,NA,272,NA,27,1692,1991,4308,NA,1066,45574,50948,1660,17,1.14,40082,21,29.3,,
52,MICHIGAN,KENT LAKE,OAKLAND LIVINGSTON,2643,NATURAL,383.32,4.05,2,2.8,33,184,520,1.1,0.043,0.18,0.355,NA,3460,NA,NA,2961,6422,17918,NA,NA,72939,90857,4925,23,1.59,97887,NA,22.5,,
53,MICHIGAN,MACATAWA LAKE,NA,2648,NATURAL,463.61,7.2,3.7,3.9,77,132,480,0.6,0.159,0.068,1.28,NA,25098,NA,86,20522,45705,82417,NA,3197,372131,457746,12472,73,6.34,263977,42,63.5,,
54,MICHIGAN,MANISTEE LAKE,MANISTEE,2649,NATURAL,5319.86,3.76,NA,62.4,NA,151,580,1.2,0.024,0.012,0.2,NA,5923,NA,385,44934,51243,26472,NA,14494,1140247,1181212,42948,16,13.63,1464870,NA,314.2,,
55,MICHIGAN,MUSKEGON LAKE,MUSKEGON,2659,NATURAL,6822.05,16.79,7,60.7,23,131,340,1.6,0.065,0.048,0.34,NA,40562,NA,45,74544,115152,121673,NA,1646,1738363,1861682,113692,1,6.86,1788122,4,110.8,,
56,MICHIGAN,PENTWATER LAKE,OCEANA,2665,NATURAL,458.43,1.76,NA,6.5,NA,143,330,1.8,0.027,0.013,0.48,NA,2095,NA,27,6626,8748,9197,NA,971,309025,319193,7737,12,4.97,200676,37,181.3,,
57,MICHIGAN,PORTAGE LAKE,HOUGHTON,2669,NATURAL,2566.69,44.39,NA,31.9,NA,44,128,2.3,0.013,0.008,0.16,NA,11460,NA,141,30789,42390,28834,NA,5274,1001456,1035565,16086,62,0.95,812277,22,23.3,,
