"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"011","ALABAMA","BANKHEAO LAKE","","0101",NA,"10336.1","37.23",NA,"179.8","7","25",NA,NA,"1.2",NA,NA,"0.007","458830",NA,"20",NA,"192450",NA,NA,"1078010",NA,NA,NA,"66","17.49",NA,NA,NA
"012","ALABAMA","HOLT LOCK AND DAM","TUSCALOOSA","0105",NA,"10960.9","13.36","7.9","191.1","6","20","162","1.3","0.018","0.006","0.835","1.04",NA,NA,"10","226360","226370",NA,NA,NA,NA,"105","149105","34","16.94",NA,NA,"5"
"013","ALABAMA","GANTT LAKE",NA,"0103",NA,"1675.7","11.2","1.4","24.2","7","22","64","0.9","0.029","0.008","0.3","0.57",NA,NA,"20","29955","29975",NA,NA,"745","722105","722850","32250",NA,"2.68","765985",NA,"64.5"
"016","ALABAMA","LAY LAKE",NA,"0100",NA,"23307.7","40.5","10.1","343","14","40","141","0.7","0.07","0.032","0.39","0.04","29105",NA,"20","31070","275","40005",NA,"0","13001440","13931045","1051970",NA,"17.72","12157200","13","200.9"
"017","ALABAMA",NA,"e CHILTON COOSA  A","0108",NA,"25325","23.63",NA,NA,NA,"52","141","0.9","0.053","0.022","0.29","0.56","6025",NA,"20","1079840","1085885","11385",NA,"800","13010680","13022865","1126335",NA,"45.95","12247875","6","551.1"
"018","ALABAMA","MARTIN LAKE","COOSA ELMORE TALLAPOOSA","0107",NA,"7674.2","157.83","12.9","123.5","176","11","50","1.6","0.017","0.004","0.17","0.38","61930",NA,"30","151385","213345","128075",NA,"1170","2602825","2732070","81110","62","1.35","3572695",NA,"17.3"
"019","ALABAMA","PICKNICK LAKE","COLBERTLAUDERDALE AL, TISHOMINGO MS, HARDING","0109",NA,NA,NA,"85003.7","174.56","6.5","56","157","1.1","0.056",NA,"0.035","0.535","73575","215570",NA,NA,"60","219915","624035",NA,"2345","59982835","2995305",NA,"16.09","55474895","9",NA
"021","ALABAMA","LAKE PURDY","JEFFERSON SHELBY","0115",NA,NA,"4.3","5.1",NA,NA,"96",NA,"205","1.6",NA,NA,NA,NA,NA,NA,"5","6595","23805",NA,"265","57125",NA,"5825","60",NA,NA,NA,"15"
"022","ALABAMA","REISS RESERVOIR","CHEROKEE ALT FLOYD GA","0112",NA,"13649.4","122.22","2","243.4","16","45",NA,"113","0.5","0.092",NA,"0.034","254590",NA,"130","900555","1155275","337255",NA,"4955","425505","767795","706015","39","9.45","5920700","32","71.7"
"023","ALABAMA","WILSON LAKE","LAUDERDALE COLBERT LAHRENCE  I  I","0114",NA,"79642.4","62.78","12.5","1433.4",NA,"53",NA,"170","1.3","53",NA,"22","2860",NA,"45","2403530","2406435","10730",NA,"1630","60972410","60984770","2415105",NA,"38.33",NA,"52359380","14"
