pagenum,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn,p_pnt_source_muni,p_pnt_source_industrial,p_pnt_source_septic,p_nonpnt_source,p_total,n_pnt_source_muni,n_pnt_source_industrial,n_pnt_source_septic,n_nonpnt_source,n_total,p_total_out,p_percent_retention,p_surface_area_loading,n_total_out,n_percent_retention,n_surface_area_loading
11,ALABAMA,BANKHEAO LAKE,,101,IMPOUNDMENT,10334.1,37.23,3.1,179.8,7,25,150,1.2,0.029,0.007,0.77,1.18,458830,NA,20,192450,651300,1078010,NA,800,5518865,6597675,218870,66,17.49,9588085,NA,177.2
12,ALABAMA,HOLT LOCK AND DAM,TUSCALOOSA,105,IMPOUNDMENT,10960.9,13.36,7.9,191.1,6,20,162,1.3,0.018,0.006,0.835,1.04,NA,NA,10,226360,226370,NA,NA,105,9953865,9953970,149105,34,16.94,9491100,5,745.1
13,ALABAMA,GANTT LAKE,NA,103,IMPOUNDMENT,1675.7,11.2,1.4,24.2,7,22,64,0.9,0.029,0.008,0.3,0.57,NA,NA,20,29955,29975,NA,NA,745,722105,722850,32250,NA,2.68,765985,NA,64.5
14,ALABAMA,GUNTERSVILLE RESERVOIR,,104,IMPOUNDMENT,63325.5,274.99,4.6,1097.7,13,53,150,1,0.044,0.014,0.48,0.71,53115,660,75,1794225,1848075,152320,2210,2880,35129790,35287200,1709205,8,6.72,33965895,4,128.3
16,ALABAMA,LAY LAKE,NA,106,IMPOUNDMENT,23387.7,48.56,10.1,343.8,14,48,141,0.7,0.076,0.032,0.39,0.64,29185,NA,20,831070,860275,48805,NA,800,13881440,13931045,1051970,NA,17.72,12157280,13,286.9
17,ALABAMA,MITCHELL LAKE,e CHILTON COOSA  A,108,IMPOUNDMENT,25325,23.63,1.3,434.5,1,52,141,0.9,0.053,0.022,0.29,0.56,6025,NA,20,1079840,1085885,11385,NA,800,13010680,13022865,1126335,NA,45.95,12247875,6,551.1
18,ALABAMA,MARTIN LAKE,COOSA ELMORE TALLAPOOSA,107,IMPOUNDMENT,7674.2,157.83,12.9,123.5,176,11,50,1.6,0.017,0.004,0.17,0.38,61930,NA,30,151385,213345,128075,NA,1170,2602825,2732070,81110,62,1.35,3572695,NA,17.3
19,ALABAMA,PICKWICK LAKE,"COLBERTLAUDERDALE AL, TISHOMINGO MS, HARDING",109,IMPOUNDMENT,85003.7,174.56,6.5,1489.6,9,56,157,1.1,0.056,0.035,0.535,0.685,73575,215570,60,2519700,2808905,219915,624035,2345,59982835,60829130,2995305,NA,16.09,55474895,9,348.5
21,ALABAMA,LAKE PURDY,JEFFERSON SHELBY,115,IMPOUNDMENT,106.4,4.3,5.1,2.33,109,96,205,1.6,0.049,0.014,0.17,0.73,7940,NA,5,6545,14490,23805,NA,265,57125,81195,5825,60,3.37,69375,15,18.9
22,ALABAMA,WEISS RESERVOIR,CHEROKEE ALT FLOYD GA,112,IMPOUNDMENT,13649.4,122.22,2.8,243.4,16,45,113,0.5,0.092,0.034,0.26,0.64,254590,NA,130,900555,1155275,337255,NA,4955,8425585,8767795,706815,39,9.45,5920780,32,71.7
23,ALABAMA,WILSON LAKE,LAUDERDALE COLBERT LAHRENCE  I  I,114,IMPOUNDMENT,79642.4,62.78,12.5,1433.4,6,53,170,1.3,0.053,0.022,0.46,0.61,2860,NA,45,2403530,2406435,10730,NA,1630,60972410,60984770,2415185,NA,38.33,52359380,14,971.4
24,DELAWARE,KILLEN POND,KENT,1002,IMPOUNDMENT,46.4,0.3,1.5,0.68,8,17,100,0.5,0.17,0.042,1.61,2.55,15,2345,5,2155,4520,90,12320,10,53550,65970,2410,47,15.07,62450,5,219.9
25,DELAWARE,MOORES LAKE,KENT,1005,IMPOUNDMENT,35.2,0.1,1.1,0.79,2,20,141,0.7,0.245,0.071,2.4,3.5,2995,NA,10,4310,7315,3855,NA,385,95340,99580,5825,20,73.15,99275,0,995.8
26,DELAWARE,NOXONTOWN POND,NEH CASTLE,1007,IMPOUNDMENT,24.4,0.64,1.1,0.42,20,32,143,0.5,0.16,0.016,0.53,2.2,475,NA,5,1975,2455,1600,NA,20,39395,41015,1355,45,3.84,22735,45,64.1
27,DELAWARE,SILVER LAKE,NEU CASTLE,1008,IMPOUNDMENT,19.5,0.15,1.5,0.33,8,26,217,0.9,0.227,0.096,4.75,5.35,2155,NA,5,2710,4870,4845,NA,160,70810,75815,2520,48,32.47,58835,22,505.4
28,DELAWARE,TRUSSUM POND,SUSSEX,1010,IMPOUNDMENT,38.6,0.22,1.2,0.53,6,10,70,0.9,0.038,0.011,1.28,1.8,NA,NA,1,380,381,NA,NA,20,36640,36660,250,34,1.73,27560,25,166.6
29,DELAWARE,WILLIAMS POND,SUSSEX,1009,IMPOUNDMENT,59.8,0.34,1.2,1.53,3,18,100,1.3,0.042,0.01,2.01,2.75,NA,NA,5,2215,2220,NA,NA,5,162205,162210,2155,3,6.53,129955,20,477.1
30,FLORIDA,ALLIGATOR LAKE,COLUMBIA,1201,NATURAL,39.9,1.37,1.5,0.48,50,54,178,0.7,0.62,0.386,0.26,2.59,15130,NA,5,6290,21425,43386,NA,160,39690,83235,11875,45,15.64,43140,48,60.8
31,FLORIDA,LAKE APOPMA,ORANGE LAKE,1202,NATURAL,476.6,125.4,1.7,2.73,2.5,121,358,0.4,0.102,0.019,0.23,3.77,9645,51265,80,17820,78810,24100,130110,2920,260600,417730,35925,54,0.63,354670,15,3.3
32,FLORIDA,CRESCENT,FLAGLER PUTNAM,1206,NATURAL,1289.8,70.61,2,10.66,153,18,360,0.7,0.065,0.033,0.13,1.27,1965,NA,15,65345,67325,5895,NA,585,655330,661810,33775,50,0.95,549230,17,9.4
33,FLORIDA,DOCTORS LAKE,CLAY,1207,NATURAL,58,12.96,3,0.72,1.7,48,815,0.9,0.084,0.028,0.12,1.445,8845,NA,40,1030,9915,26520,NA,1460,54105,82085,2295,77,0.77,70110,15,6.3
34,FLORIDA,LAKE DORA,LAKE,1208,NATURAL,613.8,22.37,3,3.51,221,105,320,0.4,0.102,0.022,0.24,3.29,2270,NA,55,38690,41015,6800,NA,2155,414935,423890,12450,70,1.83,312365,26,18.9
35,FLORIDA,EAST LAKE TOHOPEKALIGA,OSCEOLA,1261,NATURAL,797.7,49.3,2.7,6.23,247,10,120,1.5,0.042,0.007,0.07,0.93,4980,NA,30,30720,35730,7940,NA,1065,354645,363650,5025,86,0.72,228820,37,7.4
36,FLORIDA,LAKE EFFIE,POLK,1209,NATURAL,NA,0.41,1,NA,NA,134,361,0.3,1.48,0.95,0.41,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,FLORIDA,LAKE ELOISE,POLK,1252,NATURAL,14.6,4.69,3,0.05,8.9,82,340,0.9,0.486,0.339,0.17,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,FLORIDA,LAME GEORGE,"PUTNAM,VOLUSIA",1210,NATURAL,9738.4,186.16,3,110.61,58,52,1150,0.8,0.129,0.063,0.165,1.6,14100,NA,45,610725,624870,35200,NA,1665,12638920,12675785,561005,10,3.36,6865460,46,68.1
39,FLORIDA,LAKE GIBSON,POLK,1211,NATURAL,11.2,1.92,2,0.08,1.7,18,153,0.8,0.167,0.069,0.115,1.25,575,NA,NA,1090,1665,1730,NA,75,6235,8040,420,75,0.87,3970,51,4.2
40,FLORIDA,GLENADA LAKE,HIGHLANDS,1212,NATURAL,NA,0.72,4.5,NA,NA,15,112,1.2,0.134,0.072,0.165,1.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,FLORIDA,LAKE GRIFFIN,LAKE,1214,NATURAL,2007.2,35.6,2.9,9.63,124,100,267,0.5,0.119,0.038,0.26,3.45,3900,20195,35,26185,50315,18210,54690,1385,834095,908380,29225,42,1.41,913825,NA,25.5
42,FLORIDA,LANE HAINES,POLK,1215,NATURAL,21.2,2.9,2.5,0.08,2.9,14,210,0.9,0.063,0.014,0.115,1.09,1515,NA,5,460,1980,2230,NA,255,42670,45155,165,92,0.68,4080,91,15.6
43,FLORIDA,HORSESHOE LAKE,SEMINOLE,1219,NATURAL,NA,0.38,1.2,NA,NA,10,100,1,0.034,0.023,0.13,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,FLORIDA,LAKE HOWELL,SEMINOLE,1220,NATURAL,71.7,1.6,2.5,1.53,30,67,250,0.9,1.26,1.175,0.285,1.745,35660,NA,15,57935,93610,106945,NA,510,76145,183600,66375,29,58.51,97470,47,114.8
45,FLORIDA,LAKE ISTOKPOGA,HIGHLANDS,1221,NATURAL,1572.1,112.07,1.8,15.03,155,10,120,0.9,0.039,0.01,0.12,1.06,2520,NA,45,31050,33615,4915,NA,1630,588835,595380,25570,24,0.3,567575,5,5.3
46,FLORIDA,LAKE JESSIE,POLK,1258,NATURAL,12.6,0.77,2,0.11,162,42,198,1.2,0.051,0.011,0.09,0.89,40,NA,NA,2460,2500,125,NA,NA,7140,7265,160,94,3.25,2990,59,9.4
47,FLORIDA,LAKE JESSUP,SEMINOLE,1223,NATURAL,388.5,32,1.1,4.97,82,76,818,0.3,0.492,0.288,0.29,2.755,40585,NA,10,94995,135590,80935,NA,395,345760,427090,71750,47,4.24,438290,NA,13.3
