WATERBODY,STATE,TYPE,LATITUDE,LONGITUDE,ALTITUDE(km),LAKE_AREA(km2),LAKE_DEPTH(m),SAMPLED_DAYS(#),CHLOROPHYLL(ug/L),TN(mg/L),TP(mg/L),TEMPERATURE(oC),SECCHI_DEPTH(m),Species_Richness(#)
BANKHEAD LAKE,Alabama,Reservoir,33.49513875,-87.24875,0.091,37.23,3.100000001,3,4.016666667,1.403114754,0.036786885,25.67352941,1.202269071,39
GANTT RESERVOIR,Alabama,Reservoir,31.41712967,-86.477315,0.073,11.2,1.400000001,3,2.144444444,0.583103448,0.032586207,24.788,0.869246183,23
GUNTERSVILLE RESERVOIR,Alabama,Reservoir,34.49378463,-86.18000013,0.181,274.99,4.600000003,3,8.566666667,0.761044776,0.045462687,25.15,0.987779753,36
HOLT LOCK AND DAM,Alabama,Reservoir,33.2538195,-87.482639,0.0766,13.36,7.899999995,3,2.183333333,1.087068966,0.02487931,24.56111111,1.284819236,22
LAY LAKE,Alabama,Reservoir,33.076852,-86.502778,0.125,48.56,10.10000001,3,7.055555556,0.662195122,0.06802438,24.9,0.742245929,46
MARTIN LAKE,Alabama,Reservoir,32.77460314,-85.91964271,0.2074,157.83,12.89999999,4,6.407407407,0.425419355,0.019858065,22.56575342,1.644653289,35
MITCHELL LAKE,Alabama,Reservoir,32.85694433,-86.46527767,0.117,23.63,1.299999999,3,6.211111111,0.625945946,0.061918911,25.036,0.863601727,40
PICKWICK LAKE,Tennessee,Reservoir,34.9264815,-88.11583333,0.1873,174.56,6.500000005,3,3.546153846,0.73,0.055999996,25.55405405,1.26023329,15
WEISS RESERVOIR,Alabama,Reservoir,34.1895835,-85.66171283,0.171,122.22,2.799999998,2,11.26111111,1.960882911,1.869662494,23.34897959,0.54892332,36
WILSON LAKE,Alabama,Reservoir,34.80833367,-87.516852,0.1787,62.78,12.5,3,7.4,0.628529412,0.047911765,26.05263158,1.328059799,26
LAKE PURDY,Alabama,Reservoir,33.464722,-86.653148,0.17,4.3,5.099999999,2,12.71111111,0.875757576,0.063181818,21.3125,1.577625377,29
BIG LAKE,Arizona,Lake,33.882361,-109.4190275,2.739,1.94,4.399999995,2,2.9,0.892142857,0.032857143,14.08,2.895605791,10
FOOLS HOLLOW,Arizona,Reservoir,34.273472,-110.074167,1.9075,0.57,7,3,10.68333333,0.733913043,0.0703913,12.63888889,0.848361697,34
