"","State","County","Lat","Long","Storet"
"1","Alabama","Tuscaloosa","33.263889","87.351389","0101"
"2","Alabama","Covington","31.450000","86.438889","0103"
"3","Alabama","Marshall","34.423333","86.383056","0104"
"4","Alabama","Tuscaloosa","33.212500","87.580556","0105"
"5","Alabama","Talladega","33.195833","86.479167","0106"
"6","Alabama","Tallapoosa","32.866667","85.908333","0107"
"7","Alabama","Coosa","32.808333","86.445833","0108"
"8","Alabama","Lauderdale","35.002778","88.201389","0109"
"9","Alabama","Cherokee","34.132778","85.793889","0112"
"10","Alabama","Lauderdale","34.801389","87.615278","0114"
"11","Alabama","Jefferson","33.478333","86.636944","0115"
"12","Arizona","Apache","33.888333","109.414722","0401"
"13","Arizona","Navajo","34.276944","110.075556","0402"
"14","Arizona","Yuma","34.300278","114.137500","0403"
"15","Arizona","Apache","33.829167","109.083333","0404"
"16","Arizona","Apache","34.373056","109.379167","0405"
"17","Arizona","Mohave","35.201389","114.571667","0406"
"18","Arizona","Maricopa","33.856944","112.270833","0407"
"19","Arizona","Coconino","36.979167","111.384722","0408"
"20","Arizona","Navajo","34.156111","109.982500","0409"
"21","Arizona","Gila","33.668333","111.064167","0410"
"22","Arizona","Gila","33.175833","110.527222","0411"
"23","Arizona","Mohave","36.127222","113.984722","3201"
"24","Arkansas","Carroll","36.420833","93.851389","0501"
"25","Arkansas","St Francis","35.129167","90.456944","0502"
"26","Arkansas","Yell","35.103889","93.651389","0503"
"27","Arkansas","Baxter","36.367500","92.572222","0504"
"28","Arkansas","Garland","34.427222","92.972778","0505"
"29","Arkansas","Chicot","33.376944","91.222778","0506"
"30","Arkansas","Clark","34.212778","93.110556","0507"
"31","Arkansas","Lafayette","33.047778","93.522222","0508"
"32","Arkansas","Chicot","33.051389","91.197222","0509"
"33","Arkansas","Garland","34.484722","93.130833","0510"
"34","Arkansas","Hempstead","33.696667","93.962222","0511"
"35","Arkansas","Yell","34.949444","93.231111","0512"
"36","Arkansas","Baxter","36.249444","92.237222","0513"
"37","Arkansas","Garland","34.573889","93.195833","0514"
"38","Arkansas","Cleburne","35.476667","92.092500","0516"
"39","California","Amador","38.302778","120.886667","0601"
"40","California","Nevada","39.416389","120.090000","0602"
"41","California","Shasta","41.021667","121.667222","0603"
"42","California","Ventura","34.373611","119.337500","0604"
"43","California","Mono","37.587778","118.709167","0605"
"44","California","Tuolumne","37.712778","120.400833","0606"
"45","California","Riverside","33.668333","117.360556","0607"
"46","California","El Dorado","38.881944","120.067500","0608"
"47","California","Napa","38.481389","122.370556","0609"
"48","California","San Diego","33.236389","116.752778","0610"
"49","California","Siskiyou","41.934722","122.433889","0611"
"50","California","San Luis Obispo","35.188333","120.485556","0614"
"51","California","Mono","37.603889","119.004167","0615"
"52","California","Mendocino","39.197778","123.179167","0616"
"53","California","Marin","38.077500","122.752778","0617"
"54","California","San Diego","32.613056","116.927778","0618"
"55","California","Lake","39.407222","122.955556","0619"
"56","California","San Luis Obispo","35.250000","120.500278","0620"
"57","California","Shasta","40.719444","122.414722","0621"
"58","California","Fresno","37.144444","119.300000","0622"
"59","California","Mono","37.778889","119.125833","0623"
"60","California","Tuolumne","37.877222","120.602778","0624"
"61","California","Mono","38.152778","119.354167","0625"
"62","California","Mono","38.158333","119.340278","0626"
"63","California","El Dorado","38.992222","120.058333","3205"
"64","Colorado","Boulder","39.965556","105.483333","0801"
"65","Colorado","Adams","39.940833","104.748056","0802"
"66","Colorado","Gunnison","38.4575","107.327222","0803"
"67","Colorado","Arapahoe","39.649444","104.853611","0804"
"68","Colorado","Huerfano","37.747778","104.599444","0805"
"69","Colorado","Summit","39.608333","106.022778","0806"
"70","Colorado","Grand","40.239722","105.805","0807"
"71","Colorado","Summit","39.876111","106.315833","0808"
"72","Colorado","Otero","38.0625","103.610556","0809"
"73","Colorado","Crowley","38.22","103.670278","0810"
"74","Colorado","Weld","40.236944","104.637222","0811"
"75","Colorado","Archuleta","37.001944","107.412222","0812"
"76","Colorado","Grand","40.244722","105.832222","0813"
"77","Connecticut","New London","41.626944","71.978056","0901"
"78","Connecticut","Litchfield","41.7","73.225","0902"
"79","Connecticut","New Haven","41.463889","72.828611","0903"
"80","Connecticut","New Haven","41.521111","72.827222","0905"
"81","Connecticut","New London","41.4","71.958333","0906"
"82","Connecticut","Fairfield","41.383333","73.175","0910"
"83","Connecticut","Fairfield","41.450833","73.301111","0911"
"84","Connecticut","New Haven","41.327778","73.106389","0912"
"85","Delaware","Kent","38.981111","75.530556","1002"
"86","Delaware","Kent","39.126111","75.519444","1005"
"87","Delaware","New Castle","39.434722","75.684722","1007"
"88","Delaware","New Castle","39.4375","75.694444","1008"
"89","Delaware","Sussex","38.643889","75.604722","1009"
"90","Delaware","Sussex","38.522778","75.513333","1010"
"91","Florida","Columbia","30.176111","82.626111","1201"
"92","Florida","Lake","28.633611","81.667222","1202"
"93","Florida","Polk","27.977222","81.904444","1203"
"94","Florida","Putnam","29.3875","81.472222","1206"
"95","Florida","Clay","30.15","81.704167","1207"
"96","Florida","Lake","28.788889","81.7125","1208"
"97","Florida","Polk","27.909167","81.606111","1209"
"98","Florida","Volusia","29.215278","81.580556","1210"
"99","Florida","Polk","28.108333","81.956111","1211"
"100","Florida","Highlands","27.564722","81.509722","1212"
"101","Florida","Lake","28.834167","81.868889","1214"
"102","Florida","Polk","28.09","81.708611","1215"
"103","Florida","Polk","27.958333","81.84","1217"
"104","Florida","Seminole","28.637222","81.1375","1219"
"105","Florida","Seminole","28.640278","81.304167","1220"
"106","Florida","Highlands","27.317778","81.294444","1221"
"107","Florida","Seminole","28.711111","81.227778","1223"
"108","Florida","Osceola","27.948056","81.315","1224"
"109","Florida","Polk","27.995833","81.721389","1227"
"110","Florida","Polk","28.088611","81.534722","1228"
"111","Florida","Orange","28.631667","81.355556","1229"
"112","Florida","Lake","28.576389","81.763889","1230"
"113","Florida","Volusia","28.833889","81.315556","1231"
"114","Florida","Palm Beach","26.836111","80.822222","1232"
"115","Florida","Brevard","28.35","80.863056","1234"
"116","Florida","Polk","27.738889","81.516944","1236"
"117","Florida","Lake","28.616389","80.868889","1238"
"118","Florida","Leon","30.390833","84.644722","1239"
"119","Florida","Hillsborough","28.066667","82.276667","1240"
"120","Florida","Osceola","28.268889","81.4","1241"
"121","Florida","Lake","28.866111","81.683056","1242"
"122","Florida","Polk","27.802222","81.431389","1243"
"123","Florida","Lake","28.926111","81.753889","1246"
"124","Florida","Leon","30.370556","84.313056","1247"
"125","Florida","Pinellas","27.866667","82.779167","1248"
"126","Florida","Orange","28.563056","81.436944","1249"
"127","Florida","Pinellas","28.138611","82.723056","1250"
"128","Florida","Polk","27.991111","81.704722","1252"
"129","Florida","Polk","28.056389","81.763333","1258"
